source,title,description,url,image_url,published_at,tags
Sky News Arabic,الصين تستهدف واردات الطاقة الأميركية ردا على رسوم ترامب,ترامب يعلن حربا تجارية والصين ترد باستهداف واردات الطاقة الأميركية,https://www.snabusiness.com/program/taqa/1774183,/v1/2025/02/10/1775817/800/450/1-1775817.jpeg,2025-02-10T03:27:29Z,[]
Sky News Arabic,"مكبر صوت يفضح حديث ترودو بشأن ترامب.. ""الأمر حقيقي""","قال رئيس الوزراء الكندي جاستن ترودو، الجمعة، إن حديث الرئيس الأميركي دونالد ترامب عن تحويل كندا للولاية الأمريكية الـ51 ""أمر حقيقي"" ويرتبط بالموارد الطبيعية الغنية في البلاد، حسبما ذكرت وسائل الإعلام المحلية.",https://www.skynewsarabia.com/world/1775562,/v1/2024/08/13/1735225/800/450/1-1735225.jpg,2025-02-08T04:40:54Z,['أخبار أميركا']
Sky News Arabic,"""جو أنت مطرود"".. ترامب يلغي تصريحا أمنيا مهما لبايدن",أعلن الرئيس الأميركي دونالد ترامب الجمعة إلغاء التصريح الممنوح لسلفه جو بايدن والذي يخول الرؤساء السابقين الاطلاع على معلومات حساسة حتى بعد مغادرتهم المنصب.,https://www.skynewsarabia.com/world/1775544,/v1/2025/02/08/1775543/800/450/1-1775543.jpg,2025-02-08T00:26:18Z,['أخبار أميركا']
Sky News Arabic,"أمام ضغط واشنطن.. طهران تمنح ترامب ""فرصة أخرى""",كشفت إيران، الأربعاء، عن استعدادها لمنح فرصة للولايات المتحدة لتسوية الخلافات بينهما، وذلك رغم تطبيق الرئيس الأميركي دونالد ترامب سياسة أقصى ضغوط على إيران.,https://www.skynewsarabia.com/world/1774870,/v2/2025/02/05/1774806/800/450/1-1774806.jpeg,2025-02-05T14:26:44Z,['أخبار إيران']
Sky News Arabic,تهجير سكان غزة.. هل يتأثر جيش إسرائيل بتوابع زلزال ترامب؟,تسببت خطة الرئيس الأميركي دونالد ترامب بشأن تهجير سكان قطاع غزة في حالة من الجدل العميق داخل المؤسسة العسكرية الإسرائيلية، حيث أظهرت تقارير إسرائيلية أن هناك حديثًا في الأروقة بشأن محدودية نجاح المقترح وتداعياته الخطيرة على الجيش الإسرائيلي وأمن إسرائيل بأكملها.,https://www.skynewsarabia.com/middle-east/1775571,/v1/2025/02/08/1775570/800/450/1-1775570.jpeg,2025-02-08T05:36:28Z,['أخبار إسرائيل']
Sky News Arabic,"فيديو.. طفلة غزاوية تتحدى ترامب بشأن خطة ""ريفييرا""",أثارت مقطع فيديو منتشر على مواقع التواصل الاجتماعي لطفلة غزاوية توجه رسالة إلى الرئيس الأميركي دونالد ترامب بشأن غزة، تفاعلا كبيرا.,https://www.skynewsarabia.com/middle-east/1774867,/v1/2025/02/05/1774866/800/450/1-1774866.png,2025-02-05T13:41:55Z,['أخبار فلسطين']
Sky News Arabic,"تركيا: خطة ترامب بشأن غزة ""غير مقبولة""","ندد وزير الخارجية التركي هاكان فيدان، الأربعاء، بمشروع الرئيس الأميركي دونالد ترامب لنقل الفلسطينيين خارج قطاع غزة واصفا إيّاه بـ""غير المقبول"".",https://www.skynewsarabia.com/middle-east/1774820,/v1/2025/02/05/1774819/800/450/1-1774819.JPG,2025-02-05T10:14:57Z,['أخبار تركيا']
Sky News Arabic,ترامب يلغي التصاريح الأمنية لكبار المسؤولين في عهد بايدن,في خطوة وصفت بالانتقامية.. ألغى الرئيس الأميركي، دونالد ترامب، التصاريح الأمنية لعدد من المسؤولين في الإدارة السابقة، ومنهم وزير الخارجية السابق، أنتوني بلينكنن ومستشار الأمن القومي السابق، جيك سوليفان.,https://www.skynewsarabia.com/program/america_today/1775841,/v1/2025/02/10/1775864/800/450/1-1775864.jpg,2025-02-10T05:42:37Z,[]
Sky News Arabic,ترامب: لا داعي للاستعجال في تنفيذ خطتي بشأن غزة,"قال الرئيس الأميركي دونالد ترامب، يوم الجمعة، ""لا داعي للعجلة"" في تنفيذ مقترحه المثير للجدل بشأن قطاع غزة.",https://www.skynewsarabia.com/middle-east/1775493,/v1/2025/02/06/1775116/800/450/1-1775116.jpg,2025-02-07T17:35:32Z,['أخبار أميركا']
Sky News Arabic,لماذا يثير مقترح ترامب حول غزة قلق المنطقة؟,تمس خطة الرئيس الأميركي دونالد ترامب، التي تقضي بسيطرة الولايات المتحدة على قطاع غزة الذي مزقته الحرب وتطويره اقتصاديا، واحدة من أكثر القضايا حساسية في الصراع العربي الإسرائيلي.,https://www.skynewsarabia.com/middle-east/1774812,/v1/2025/02/02/1774088/800/450/1-1774088.jpeg,2025-02-05T09:35:53Z,['أخبار فلسطين']
Sky News Arabic,ترامب يصر على التهجير,أعاد الرئيس الأمريكي دونالد ترامب طرح فكرة تهجير سكان غزة، كجزء من رؤيته لحل القضية الفلسطينية، ليعيد إلى الأذهان محاولات تهجير الفلسطينيين المتكررة عبر عقود.,https://www.skynewsarabia.com/podcast/todays_news/1773807-ترامب-يصر-التهجير,/v1/2022/08/17/1547642/800/450/1-1547642.jpg,2025-02-01T09:05:53Z,['أخبار إسرائيل']
Sky News Arabic,"الهباش: خطة ترامب ""جريمة حرب"" وتهديد للمنطقة",أثار الرئيس الأميركي دونالد ترامب جدلاً واسعًا بعدما طرح فكرة سيطرة الولايات المتحدة على قطاع غزة بعد ترحيل جميع الفلسطينيين منه إلى مصر والأردن ودول أخرى. وقد لاقت هذه التصريحات ترحيبًا من قبل رئيس الوزراء الإسرائيلي بنيامين نتنياهو وحكومته، فيما أثارت استياءً شديدًا لدى القيادة الفلسطينية والدول العربية.,https://www.skynewsarabia.com/middle-east/1774833,/v1/2025/02/05/1774830/800/450/1-1774830.jpeg,2025-02-05T10:51:07Z,['أخبار فلسطين']
Sky News Arabic,"ترامب يعيد سياسة ""الضغط القصوى"" على إيران",وقع الرئيس الأميركي دونالد ترامب الثلاثاء مذكرة رئاسية تقضي بإعادة سياسة الضغط القصوى على حكومة إيران، وذلك بهدف قطع الطريق على طهران نحو الحصول على سلاح نووي ومواجهة نفوذها المزعزع للاستقرار في الخارج، وفقا لما أعلنه البيت الأبيض.,https://www.snabusiness.com/article/1774740,/v1/2025/02/05/1774724/800/450/1-1774724.jpeg,2025-02-05T05:49:25Z,['أخبار أميركا']
Sky News Arabic,بعد تصريحات ترامب.. غرينلاند تستعد لانتخابات برلمانية مبكرة,تستعد غرينلاند، التي لفتت الأنظار مؤخرا بسبب تصريحات الرئيس الأميركي دونالد ترامب حول احتمال سعي الولايات المتحدة للسيطرة عليها، لإجراء انتخابات برلمانية مبكرة في 11 مارس.,https://www.skynewsarabia.com/world/1774715,/v1/2025/02/05/1774707/800/450/1-1774707.JPG,2025-02-05T04:54:21Z,['أخبار العالم']
Sky News Arabic,رسوم ترامب.. حمائية حقيقية أم ابتزاز سياسي؟,تسلط السياسات التجارية الجديدة التي ينتهجها الرئيس الأميركي، عبر التهديد بفرض رسوم جمركية على دول العالم، الضوء على نهج يعتمد على الضغوط الاقتصادية سعياً لتحقيق مكاسب سياسية واقتصادية.,https://www.snabusiness.com/video/1775914,/v1/2018/07/20/1165844/800/450/1-1165844.JPG,2025-02-10T11:10:54Z,['دونالد ترامب']
Sky News Arabic,"ترامب: الولايات المتحدة ""ستسيطر على قطاع غزة وتمتلكه""","أعلن الرئيس الأميركي دونالد ترامب أن الولايات المتحدة ""ستتولى السيطرة على قطاع غزة وتمتلكه""، وذلك بعد إصراره على تنفيذ مقترحه بتهجير الفلسطينيين منه.",https://www.skynewsarabia.com/middle-east/1774679,/v1/2025/02/05/1774678/800/450/1-1774678.jpg,2025-02-05T00:13:17Z,['أخبار إسرائيل']
Sky News Arabic,بعد إعلان ترامب.. أستراليا تؤيد حل الدولتين,قال رئيس الوزراء الأسترالي أنتوني ألبانيزي اليوم الأربعاء إن حكومته تؤيد حل الدولتين في الشرق الأوسط، وذلك في أعقاب إعلان الرئيس الأميركي دونالد ترامب المفاجئ عزمه تولي السيطرة على قطاع غزة.,https://www.skynewsarabia.com/world/1774700,/v1/2025/02/05/1774672/800/450/1-1774672.jpg,2025-02-05T04:23:32Z,['أخبار فلسطين']
Sky News Arabic,حرب ترامب على المنظمات الدولية.. ضحايا جدد,إدارةُ الرئيس الأميركي دونالد ترامب تُصدر أمراً لبرنامج الأغذية العالمي التابع للأمم المتحدة بوقف العمل على عشرات المِنح التي تموّلها الولاياتُ المتحدة.. وتفرض عقوبات على المحكمة الجنائية الدولية..,https://www.skynewsarabia.com/program/studio_one/1775468,/v1/2024/11/22/1756730/800/450/1-1756730.jpg,2025-02-07T15:53:33Z,[]
Sky News Arabic,ترامب يدعم مقترح إرسال سجناء أميركيين إلى السلفادور,أيد الرئيس الأميركي دونالد ترامب الثلاثاء مقترح السلفادور بنقل سجناء، من بينهم مواطنون أميركيون، لقضاء عقوبتهم في الدولة الواقعة في أميركا الوسطى.,https://www.skynewsarabia.com/world/1774675,/v1/2025/02/05/1774674/800/450/1-1774674.jpg,2025-02-04T23:23:14Z,['دونالد ترامب']
