title,link,image_url,tags
بريطانيا تبدي استعدادها لإرسال قوات إلى أوكرانيا,https://www.alhurra.com/top-news/2025/02/17/%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A%D8%A7-%D8%AA%D8%A8%D8%AF%D9%8A-%D8%A7%D8%B3%D8%AA%D8%B9%D8%AF%D8%A7%D8%AF%D9%87%D8%A7-%D9%84%D8%A5%D8%B1%D8%B3%D8%A7%D9%84-%D9%82%D9%88%D8%A7%D8%AA-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
ترامب يقلل من أهمية فرض قيود أوروبية على واردات الغذاء الأميركية,https://www.alhurra.com/usa/2025/02/17/%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D9%82%D9%84%D9%84-%D8%A3%D9%87%D9%85%D9%8A%D8%A9-%D9%81%D8%B1%D8%B6-%D9%82%D9%8A%D9%88%D8%AF-%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D8%B1%D8%AF%D8%A7%D8%AA-%D8%A7%D9%84%D8%BA%D8%B0%D8%A7%D8%A1-%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",أميركا
القوات الأميركية تقتل مسؤولا في جماعة تابعة لتنظيم القاعدة,https://www.alhurra.com/top-news/2025/02/17/%D8%A7%D9%84%D9%82%D9%88%D8%A7%D8%AA-%D8%A7%D9%84%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A%D8%A9-%D8%AA%D9%82%D8%AA%D9%84-%D9%85%D8%B3%D8%A4%D9%88%D9%84%D8%A7-%D9%81%D9%8A-%D8%AC%D9%85%D8%A7%D8%B9%D8%A9-%D8%AA%D8%A7%D8%A8%D8%B9%D8%A9-%D9%84%D8%AA%D9%86%D8%B8%D9%8A%D9%85-%D8%A7%D9%84%D9%82%D8%A7%D8%B9%D8%AF%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
"ترامب يتحدث عن لقاء ""قريب جدا"" مع بوتين",https://www.alhurra.com/top-news/2025/02/17/%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D8%AA%D8%AD%D8%AF%D8%AB-%D9%84%D9%82%D8%A7%D8%A1-%D9%82%D8%B1%D9%8A%D8%A8-%D8%AC%D8%AF%D8%A7-%D9%85%D8%B9-%D8%A8%D9%88%D8%AA%D9%8A%D9%86,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
"تواصل أميركي إماراتي بشأن ""تعزيز الشراكة الدفاعية""",https://www.alhurra.com/arabic-and-international/2025/02/17/%D8%AA%D9%88%D8%A7%D8%B5%D9%84-%D8%A3%D9%85%D9%8A%D8%B1%D9%83%D9%8A-%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA%D9%8A-%D8%AA%D8%B9%D8%B2%D9%8A%D8%B2-%D8%A7%D9%84%D8%B4%D8%B1%D8%A7%D9%83%D8%A9-%D8%A7%D9%84%D8%AF%D9%81%D8%A7%D8%B9%D9%8A%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",عربي ودولي
"عواصف شتوية ""قاتلة"" تضرب الولايات المتحدة وتخلف تسعة قتلى",https://www.alhurra.com/top-news/2025/02/17/%D8%B9%D9%88%D8%A7%D8%B5%D9%81-%D8%B4%D8%AA%D9%88%D9%8A%D8%A9-%D9%82%D8%A7%D8%AA%D9%84%D8%A9-%D8%AA%D8%B6%D8%B1%D8%A8-%D8%A7%D9%84%D9%88%D9%84%D8%A7%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%AA%D8%AD%D8%AF%D8%A9-%D9%88%D8%AA%D8%AE%D9%84%D9%81-%D8%AA%D8%B3%D8%B9%D8%A9-%D9%82%D8%AA%D9%84%D9%89,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",آخر الأخبار- الرئيسية
هزتان أرضيتان تضربان المناطق الحدودية بين العراق وإيران,https://www.alhurra.com/iraq/2025/02/17/%D9%87%D8%B2%D8%AA%D8%A7%D9%86-%D8%A3%D8%B1%D8%B6%D9%8A%D8%AA%D8%A7%D9%86-%D8%AA%D8%B6%D8%B1%D8%A8%D8%A7%D9%86-%D8%A7%D9%84%D9%85%D9%86%D8%A7%D8%B7%D9%82-%D8%A7%D9%84%D8%AD%D8%AF%D9%88%D8%AF%D9%8A%D8%A9-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A7%D9%82-%D9%88%D8%A5%D9%8A%D8%B1%D8%A7%D9%86,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",العراق
"""المتمردون"" في الكونغو الديمقراطية يسيطرون على مدينة جديدة",https://www.alhurra.com/arabic-and-international/2025/02/17/%D8%A7%D9%84%D9%85%D8%AA%D9%85%D8%B1%D8%AF%D9%88%D9%86-%D9%81%D9%8A-%D8%A7%D9%84%D9%83%D9%88%D9%86%D8%BA%D9%88-%D8%A7%D9%84%D8%AF%D9%8A%D9%85%D9%82%D8%B1%D8%A7%D8%B7%D9%8A%D8%A9-%D9%8A%D8%B3%D9%8A%D8%B7%D8%B1%D9%88%D9%86-%D9%85%D8%AF%D9%8A%D9%86%D8%A9-%D8%AC%D8%AF%D9%8A%D8%AF%D8%A9,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",عربي ودولي
"زيلنسكي يبحث عن استعادة أسرى و""برنامج إنساني واسع النطاق"" في الإمارات",https://www.alhurra.com/uae/2025/02/16/%D8%B2%D9%8A%D9%84%D9%86%D8%B3%D9%83%D9%8A-%D9%8A%D8%A8%D8%AD%D8%AB-%D8%A7%D8%B3%D8%AA%D8%B9%D8%A7%D8%AF%D8%A9-%D8%A3%D8%B3%D8%B1%D9%89-%D9%88%D8%A8%D8%B1%D9%86%D8%A7%D9%85%D8%AC-%D8%A5%D9%86%D8%B3%D8%A7%D9%86%D9%8A-%D9%88%D8%A7%D8%B3%D8%B9-%D8%A7%D9%84%D9%86%D8%B7%D8%A7%D9%82-%D9%81%D9%8A-%D8%A7%D9%84%D8%A5%D9%85%D8%A7%D8%B1%D8%A7%D8%AA,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",الإمارات
بعد مقترحات ترامب.. مكالمة بين بن سلمان وماكرون حول غزة وسوريا وحرب أوكرانيا,https://www.alhurra.com/saudi-arabia/2025/02/16/%D9%85%D9%82%D8%AA%D8%B1%D8%AD%D8%A7%D8%AA-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%85%D9%83%D8%A7%D9%84%D9%85%D8%A9-%D8%A8%D9%8A%D9%86-%D8%A8%D9%86-%D8%B3%D9%84%D9%85%D8%A7%D9%86-%D9%88%D9%85%D8%A7%D9%83%D8%B1%D9%88%D9%86-%D8%BA%D8%B2%D8%A9-%D9%88%D8%B3%D9%88%D8%B1%D9%8A%D8%A7-%D9%88%D8%AD%D8%B1%D8%A8-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7,"data:image/svg+xml;charset=utf-8,%3Csvg%20xmlns%3D'http%3A%2F%2Fwww.w3.org%2F2000%2Fsvg'%20viewBox%3D'0%200%201%201'%2F%3E",السعودية
