source,author?,title,content,description?,url,image_url?,published_at,tags
France 24,No Author,"ترامب يؤكد على مشروع ""ترانسفير"" بحق الفلسطينيين: هل ينجح العرب في التصدي لخطة ترامب؟",No Content,No Description,https://www.france24.com/ar/%D8%A8%D8%B1%D8%A7%D9%85%D8%AC/%D8%B5%D8%AF%D9%89-%D8%A7%D9%84%D9%85%D8%B4%D8%B1%D9%82/20250213-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D9%8A%D8%A4%D9%83%D8%AF-%D8%B9%D9%84%D9%89-%D9%85%D8%B4%D8%B1%D9%88%D8%B9-%D8%AA%D8%B1%D8%A7%D9%86%D8%B3%D9%81%D9%8A%D8%B1-%D8%A8%D8%AD%D9%82-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A%D9%8A%D9%86-%D9%87%D9%84-%D9%8A%D9%86%D8%AC%D8%AD-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%B5%D8%AF%D9%8A-%D9%84%D8%AE%D8%B7%D8%A9-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8,https://s.france24.com/media/display/d9465c50-ea02-11ef-aead-005056a97e36/w:720/p:16x9/capture-100144028767ade01674ca24.02474867.jpg,No Published Date,الشرق الأوسط
France 24,No Author,في أوكرانيا... مدنيون متطوعون يطاردون الطائرات المسيرة,No Content,"على بعد 90 كيلومترا من مدينة كييف، في أطقم مكونة من أربعة أفراد، يراقبون  مسيرات  ""شاهد"" على شاحنات صغيرة مجهزة بمدافع رشاشة ثقيلة. جميعهم مدنيون متطوعون للدفاع عن العاصمة الأوكرانية من هجمات شبه يومية للطائرات بدون طيار. معرفتهم بالتضاريس، والتدريب العسكري المستمر يجعلهم مطاردين جيدين. وحدة بيرياسلاف وحدها أسقطت 31 طائرة بدون طيار في عام واحد.",https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250217-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D9%85%D8%AF%D9%86%D9%8A%D9%88%D9%86-%D9%85%D8%AA%D8%B7%D9%88%D8%B9%D9%88%D9%86-%D9%8A%D8%B7%D8%A7%D8%B1%D8%AF%D9%88%D9%86-%D8%A7%D9%84%D8%B7%D8%A7%D8%A6%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D8%B1%D8%A9,https://s.france24.com/media/display/a1a18f58-ea4e-11ef-840d-005056bfb2b6/w:1280/p:16x9/02-7.png,No Published Date,No Tags
France 24,No Author,في أوكرانيا... على الجبهة الجامدة بسبب حرب المسيرات,No Content,No Description,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250214-%D9%81%D9%8A-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D8%B9%D9%84%D9%89-%D8%A7%D9%84%D8%AC%D8%A8%D9%87%D8%A9-%D8%A7%D9%84%D8%AC%D8%A7%D9%85%D8%AF%D8%A9-%D8%A8%D8%B3%D8%A8%D8%A8-%D8%AD%D8%B1%D8%A8-%D8%A7%D9%84%D9%85%D8%B3%D9%8A%D8%B1%D8%A7%D8%AA,https://s.france24.com/media/display/6a6ccccc-ea0e-11ef-8c00-005056a97e36/w:720/p:16x9/01-2-1.png,No Published Date,أوروبا
France 24,No Author,"زيلينسكي يشترط  الاتفاق على ""خطة مشتركة"" بين الحلفاء حتى يلتقي ببوتين وجها لوجه",No Content,No Description,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250214-%D8%B2%D9%8A%D9%84%D9%8A%D9%86%D8%B3%D9%83%D9%8A-%D9%8A%D8%B4%D8%AA%D8%B1%D8%B7-%D8%A7%D9%84%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%B9%D9%84%D9%89-%D8%AE%D8%B7%D8%A9-%D9%85%D8%B4%D8%AA%D8%B1%D9%83%D8%A9-%D8%A8%D9%8A%D9%86-%D8%A7%D9%84%D8%AD%D9%84%D9%81%D8%A7%D8%A1-%D8%AD%D8%AA%D9%89-%D9%8A%D9%84%D8%AA%D9%82%D9%8A-%D8%A8%D8%A8%D9%88%D8%AA%D9%8A%D9%86-%D9%88%D8%AC%D9%87%D8%A7-%D9%84%D9%88%D8%AC%D9%87,https://s.france24.com/media/display/da7fd77e-e8bb-11ef-8d06-005056bfb2b6/w:720/p:16x9/AP25041621825991.jpg,No Published Date,أوروبا
France 24,No Author,"كيف سيكون شكل خارطة أوكرانيا ""الجديدة"" في حال وقف الحرب مع روسيا؟",No Content,No Description,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250212-%D8%AE%D8%A7%D8%B1%D8%B7%D8%A9-%D8%A3%D9%88%D9%83%D8%B1%D8%A7%D9%86%D9%8A%D8%A7-%D8%A7%D9%84%D8%AD%D8%B1%D8%A8-%D8%A7%D9%84%D8%B3%D9%84%D8%A7%D9%85-%D9%85%D9%81%D8%A7%D9%88%D8%B6%D8%A7%D8%AA-%D8%B1%D9%88%D8%B3%D9%8A%D8%A7-%D8%A8%D9%88%D8%AA%D9%8A%D9%86-%D8%AA%D8%B1%D8%A7%D9%85%D8%A8-%D8%B2%D9%8A%D9%84%D9%8A%D9%86%D8%B3%D9%83%D9%8A-%D9%83%D9%88%D8%B1%D8%B3%D9%83,https://s.france24.com/media/display/2e8f3a88-e954-11ef-a68b-005056bf30b7/w:720/p:16x9/carte-ukraine-f24-AR-2.png,No Published Date,أوروبا
France 24,No Author,"بدء محاكمة مهدي نموش وأربعة من معاونيه بتهمة ""الإرهاب"" و""احتجاز"" صحفيين فرنسيين في سوريا",No Content,No Description,https://www.france24.com/ar/%D9%81%D8%B1%D9%86%D8%B3%D8%A7/20250217-%D8%A8%D8%AF%D8%A1-%D9%85%D8%AD%D8%A7%D9%83%D9%85%D8%A9-%D9%85%D9%87%D8%AF%D9%8A-%D9%86%D9%85%D9%88%D8%B4-%D9%88%D8%A3%D8%B1%D8%A8%D8%B9%D8%A9-%D9%85%D9%86-%D9%85%D8%B9%D8%A7%D9%88%D9%86%D9%8A%D9%87-%D8%A8%D8%AA%D9%87%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%B1%D9%87%D8%A7%D8%A8-%D9%88-%D8%A7%D8%AD%D8%AA%D8%AC%D8%A7%D8%B2-%D8%B5%D8%AD%D9%81%D9%8A%D9%8A%D9%86-%D9%81%D8%B1%D9%86%D8%B3%D9%8A%D9%8A%D9%86-%D9%81%D9%8A-%D8%B3%D9%88%D8%B1%D9%8A%D8%A7,https://s.france24.com/media/display/b4d751c8-ed1b-11ef-b778-005056a90284/w:720/p:16x9/44b1985d6b8f63f10c62239abf2990d0f787483c-1.jpg,No Published Date,فرنسا
France 24,No Author,"إسرائيل: الجيش يعلن البقاء في خمس ""نقاط استراتيجية"" في لبنان بعد انقضاء مهلة انسحابه",No Content,No Description,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250217-%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84-%D8%A7%D9%84%D8%AC%D9%8A%D8%B4-%D9%8A%D8%B9%D9%84%D9%86-%D8%A7%D9%84%D8%A8%D9%82%D8%A7%D8%A1-%D9%81%D9%8A-%D8%AE%D9%85%D8%B3-%D9%86%D9%82%D8%A7%D8%B7-%D8%A7%D8%B3%D8%AA%D8%B1%D8%A7%D8%AA%D9%8A%D8%AC%D9%8A%D8%A9-%D9%81%D9%8A-%D9%84%D8%A8%D9%86%D8%A7%D9%86-%D8%A8%D8%B9%D8%AF-%D8%A7%D9%86%D9%82%D8%B6%D8%A7%D8%A1-%D9%85%D9%87%D9%84%D8%A9-%D8%A7%D9%86%D8%B3%D8%AD%D8%A7%D8%A8%D9%87,https://s.france24.com/media/display/ebaca6f4-ed3d-11ef-85f1-005056a97e36/w:720/p:16x9/000_36XZ7E8.jpg,No Published Date,الشرق الأوسط
France 24,No Author,الحكومة الإسرائيلية المصغرة تناقش المرحلة الثانية من اتفاق الهدنة في غزة وروبيو في السعودية,No Content,No Description,https://www.france24.com/ar/%D8%A7%D9%84%D8%B4%D8%B1%D9%82-%D8%A7%D9%84%D8%A3%D9%88%D8%B3%D8%B7/20250217-%D8%A7%D9%84%D8%AD%D9%83%D9%88%D9%85%D8%A9-%D8%A7%D9%84%D8%A5%D8%B3%D8%B1%D8%A7%D8%A6%D9%8A%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D8%BA%D8%B1%D8%A9-%D8%AA%D9%86%D8%A7%D9%82%D8%B4-%D8%A7%D9%84%D9%85%D8%B1%D8%AD%D9%84%D8%A9-%D8%A7%D9%84%D8%AB%D8%A7%D9%86%D9%8A%D8%A9-%D9%85%D9%86-%D8%A7%D8%AA%D9%81%D8%A7%D9%82-%D8%A7%D9%84%D9%87%D8%AF%D9%86%D8%A9-%D9%81%D9%8A-%D8%BA%D8%B2%D8%A9-%D9%88%D8%B1%D9%88%D8%A8%D9%8A%D9%88-%D9%81%D9%8A-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9,https://s.france24.com/media/display/dfbfa514-a75a-11ee-8927-005056bfb2b6/w:720/p:16x9/000_348W9AH.jpg,No Published Date,الشرق الأوسط
France 24,No Author,الجزائري نبيل بن طالب يهدي الفوز لفريقه ليل بعد غياب طويل بسبب أزمة قلبية,No Content,No Description,https://www.france24.com/ar/%D8%B1%D9%8A%D8%A7%D8%B6%D8%A9/20250217-%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A-%D9%86%D8%A8%D9%8A%D9%84-%D8%A8%D9%86-%D8%B7%D8%A7%D9%84%D8%A8-%D9%8A%D9%87%D8%AF%D9%8A-%D8%A7%D9%84%D9%81%D9%88%D8%B2-%D9%84%D9%81%D8%B1%D9%8A%D9%82%D9%87-%D9%84%D9%8A%D9%84-%D8%A8%D8%B9%D8%AF-%D8%BA%D9%8A%D8%A7%D8%A8-%D8%B7%D9%88%D9%8A%D9%84-%D8%A8%D8%B3%D8%A8-%D8%A3%D8%B2%D9%85%D8%A9-%D9%82%D9%84%D8%A8%D9%8A%D8%A9,https://s.france24.com/media/display/4ece6842-ecfa-11ef-af61-005056bf30b7/w:720/p:16x9/000_36XX7BX.jpg,No Published Date,رياضة
France 24,No Author,ألمانيا: آلاف المتظاهرين ضد حزب البديل اليميني المتطرف قبل أيام من انتخابات مصيرية,No Content,No Description,https://www.france24.com/ar/%D8%A3%D9%88%D8%B1%D9%88%D8%A8%D8%A7/20250217-%D8%A3%D9%84%D9%85%D8%A7%D9%86%D9%8A%D8%A7-%D8%A2%D9%84%D8%A7%D9%81-%D8%A7%D9%84%D9%85%D8%AA%D8%B8%D8%A7%D9%87%D8%B1%D9%8A%D9%86-%D8%B6%D8%AF-%D8%AD%D8%B2%D8%A8-%D8%A7%D9%84%D8%A8%D8%AF%D9%8A%D9%84-%D8%A7%D9%84%D9%8A%D9%85%D9%8A%D9%86%D9%8A-%D8%A7%D9%84%D9%85%D8%AA%D8%B7%D8%B1%D9%81-%D9%82%D8%A8%D9%84-%D8%A3%D9%8A%D8%A7%D9%85-%D9%85%D9%86-%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D9%85%D8%B5%D9%8A%D8%B1%D9%8A%D8%A9,https://s.france24.com/media/display/e7c5b3ea-dd03-11ef-91f2-005056bfb2b6/w:720/p:16x9/AFP__20250125__36W23KQ__v2__Preview__GermanyPoliticsVotePartiesAfd.jpg,No Published Date,أوروبا
